,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
128,71768,1,2023,2023-06-29 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,30/06/2023
129,71767,1,2023,2023-06-29 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23800.0,30/06/2023
130,71755,1,2023,2023-06-28 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,29/06/2023
131,71754,1,2023,2023-06-28 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23783.0,29/06/2023
132,71742,1,2023,2023-06-26 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,27/06/2023
133,71741,1,2023,2023-06-26 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23761.0,27/06/2023
134,71729,1,2023,2023-06-25 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,26/06/2023
135,71728,1,2023,2023-06-25 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23755.0,26/06/2023
136,71724,1,2023,2023-06-23 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,24/06/2023
137,71723,1,2023,2023-06-23 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23732.0,24/06/2023
138,71711,1,2023,2023-06-22 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,23/06/2023
139,71710,1,2023,2023-06-22 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23732.0,23/06/2023
140,71698,1,2023,2023-06-21 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,22/06/2023
141,71697,1,2023,2023-06-21 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23732.0,22/06/2023
142,71685,1,2023,2023-06-20 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,21/06/2023
143,71684,1,2023,2023-06-20 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23727.0,21/06/2023
